ID,大学名（中文）,大学名（日本語）,大学名（英語）,種別,地域,住所,電話,サイト（中文）,サイト（英語）,寮あり,奨学金あり,奨学金URL,財力証明（金額）,財力証明（日本円目安）,語学要件（中国語）,語学要件（英語）,日本語概要,学科数,学生数（全体）,留学生数,日本人留学生数,補完レベル,データソース
19,國立中山大學,国立中山大学,National Sun Yat-sen University,國立大學,高雄,804201高雄市鼓山區蓮海路70號,886-7-5252000,http://www.nsysu.edu.tw,https://www.nsysu.edu.tw/?Lang=en,○,○,https://oia.nsysu.edu.tw/index.php,,,,,,24,,,,basic,hailian
08,國立東華大學,国立東華大学,National Dong Hwa University,國立大學,花蓮,974301花蓮縣壽豐鄉大學路二段一號,886-3-8905114,http://www.ndhu.edu.tw,https://www.ndhu.edu.tw/?Lang=en,○,○,https://oia.ndhu.edu.tw/p/412-1027-21550.php?Lang=zh-tw,,,,,,46,,,,basic,hailian
03,國立嘉義大學,国立嘉義大学,National Chiayi University,國立大學,嘉義,600355嘉義市學府路300號,886-5-2717296,https://www.ncyu.edu.tw/,https://www.ncyu.edu.tw/ncyu_eng/,○,○,https://ppt.cc/ft8sxx,,,,,,40,,,,basic,hailian
23,國立彰化師範大學,国立彰化師範大学,National Changhua University of Education,國立大學,彰化,500207彰化縣彰化市進德路1號,886-4-7232105,http://www.ncue.edu.tw,https://oicaweb.ncue.edu.tw/?Lang=en,○,○,"https://oicaweb.ncue.edu.tw/p/406-1019-3288,r141.php?Lang=zh-tw",,,,,,20,,,,basic,hailian
27,國立高雄師範大學,国立高雄師範大学,National Kaohsiung Normal University,國立大學,高雄,802311高雄市苓雅區和平一路116號,886-7-7172930,http://www.nknu.edu.tw,http://www.nknu.edu.tw,○,×,,,,,,,20,,,,basic,hailian
80,國立金門大學,国立金門大学,National Quemoy University,國立大學,金門,892009金門縣金寧鄉大學路1號,886-82-313734,https://www.nqu.edu.tw/,https://www.nqu.edu.tw/?Lang=en,○,○,https://oica.nqu.edu.tw/,,,,,,17,,,,basic,hailian
14,國立宜蘭大學,国立宜蘭大学,National Ilan University,國立大學,宜蘭,260007宜蘭市神農路1段1號,886-3-9317073,http://www.niu.edu.tw,https://niu-en.niu.edu.tw/bin/home.php,○,○,https://oia.niu.edu.tw/p/404-1014-9573.php,,,,,,15,,,,basic,hailian
E0,臺北市立大學,台北市立大学,University of Taipei,國立大學,台北,100234臺北市中正區愛國西路1號;111036臺北市士林區忠誠路2段101號,02-2871-8288 EXT 7505,http://www.utaipei.edu.tw/,http://www.utaipei.edu.tw/bin/home.php?Lang=en,○,×,,,,,,,23,,,,basic,hailian
26,國立臺中教育大學,国立台中教育大学,National Taichung University of Education,國立大學,台中,403454臺中市西區民生路140號,886-4-22183682,https://www.ntcu.edu.tw/,https://www.ntcu.edu.tw/?Lang=en-US,○,○,https://ord.ntcu.edu.tw/front/_International_exchange/_International_studentsenrollment/_International_overseasstudents/pages.php?ID=72450bd5db781643ebca7404ba92bc4f42bd9097b26cd9cdfe9f07dbe0,,,,,,17,,,,basic,hailian
F0,國立屏東大學,国立屏東大学,National Pingtung University,國立大學,屏東,900391屏東縣屏東市民生路4-18號,886-8-766-3800,https://www.nptu.edu.tw/,https://eng.nptu.edu.tw/index.php,○,○,https://oiais.nptu.edu.tw/p/412-1090-12954.php?Lang=zh-tw,,,,,,29,,,,basic,hailian
20,國立臺東大學,国立台東大学,National Taitung University,國立大學,台東,950309臺東縣臺東市大學路二段369號,886-89-318855,https://www.nttu.edu.tw,https://english.nttu.edu.tw,○,○,https://rd.nttu.edu.tw/p/404-1007-84179.php?Lang=zh-tw,,,,,,20,,,,basic,hailian
18,國立臺南大學,国立台南大学,National University of Tainan,國立大學,台南,700301臺南市中西區樹林街2段33號,886-6-2133111,https://www.nutn.edu.tw/,https://eng.nutn.edu.tw/,○,×,,,,,,,21,,,,basic,hailian
12,國立高雄大學,国立高雄大学,National University of Kaohsiung,國立大學,高雄,811726高雄市楠梓區高雄大學路700號,886-7-5919000#8240~8243,https://www.nuk.edu.tw/,https://www.nuk.edu.tw/?Lang=en,○,○,https://dia.nuk.edu.tw/,,,,,,20,,,,basic,hailian
34,國立臺灣藝術大學,国立台湾芸術大学,National Taiwan University of Arts,國立大學,新北,220307新北市板橋區大觀路1段59號,886-2-22722181 #1151,https://www.ntua.edu.tw/,https://www.ntua.edu.tw/,○,○,https://international.ntua.edu.tw/#/,,,,,,14,,,,basic,hailian
28,國立臺北教育大學,国立台北教育大学,National Taipei University of Education,國立大學,台北,106320臺北市大安區和平東路2段134號,886-2-66396688轉82015,https://www.ntue.edu.tw,https://www.ntue.edu.tw,○,×,,,,,,"台北中心部に位置する
MRT科技大樓駅から徒歩約10分
1895年に創立、歴史のある大学
キャンパス外は飲食店やビルがたくさんある",15,5955,249,6,enriched,hailian+guide
33,國立臺北藝術大學,国立台北芸術大学,Taipei National University of the Arts,國立大學,台北,112301臺北市北投區學園路1號,886-2-2896-1000,https://w3.tnua.edu.tw/,https://w3.tnua.edu.tw/?lang=en,○,×,,,,,,,10,,,,basic,hailian
30,國立臺灣體育運動大學,国立台湾体育運動大学,National Taiwan University of Sport,國立大學,台中,404401臺中市北區雙十路一段16號,886-4-22213108,https://www.ntus.edu.tw,https://eng.ntus.edu.tw,○,○,https://student.ntus.edu.tw/index.php?code=list&flag=detail&ids=1297&article_id=18059,,,,,,9,,,,basic,hailian
32,國立體育大學,国立体育大学,National Taiwan Sport University,國立大學,桃園,333325桃園市龜山區文化一路250號,886-3-3283201,http://www.ntsu.edu.tw,https://admissions.ntsu.edu.tw/app/home.php,○,○,https://students.ntsu.edu.tw/p/412-1003-2595.php?Lang=zh-tw,,,,,,6,,,,basic,hailian
35,國立臺南藝術大學,国立台南芸術大学,Tainan National University of the Arts,國立大學,台南,720005臺南市官田區大崎里66號,886-6-6931212,https://www.tnnua.edu.tw,https://www.tnnua.edu.tw/index.php?Lang=en,○,×,,,,,,,3,,,,basic,hailian
22,國防醫學大學,国防医学大学,National Defense Medical University,國立大學,台北,114201臺北市內湖區民權東路六段161號,886-2-87926692,https://www.ndmctsgh.edu.tw/,https://www.ndmctsgh.edu.tw/english,○,○,https://wwwndmc.ndmctsgh.edu.tw/unit/100025/32,,,,,,2,,,,basic,hailian
16,國立聯合大學,国立連合大学,National United University,國立大學,その他,360001苗栗市恭敬里聯大一號,886-37-381131,http://www.nuu.edu.tw,https://www.nuu.edu.tw/index.php?Lang=en,○,○,https://oia.nuu.edu.tw/p/403-1068-362-1.php?Lang=zh-tw,,,,,,19,,,,basic,hailian
68,中國醫藥大學,中国医薬大学,China Medical University,私立大學,台中,406040台中市北屯區經貿路一段100號,886-4-22053366,https://cmucia.cmu.edu.tw/admission.html,https://cmucia.cmu.edu.tw/english/admission.html,○,○,https://cmucia.cmu.edu.tw/foreigner.php,"USD 5,000",約78万円,TOCFL A2 or B1,,,23,,,,enriched,hailian+spreadsheet
37,淡江大學,淡江大学,Tamkang University,私立大學,新北,251301新北市淡水區英專路151號,886-2-26215656,http://www.tku.edu.tw,https://english.tku.edu.tw/,○,○,https://www.oieie.tku.edu.tw/oieie/?page_id=19289,"100,000元",約50万円,TOCFL A2,CEFR B1以上,"台北北部に位置する
外国人の数が台湾トップ
台湾留学101センター代表リッキーの創設した日本学生連盟会がある",44,23328,1680,131,full,hailian+spreadsheet+guide
61,中原大學,中原大学,Chung Yuan Christian University,私立大學,桃園,320314桃園市中壢區中北路200號,886-3-2659999,http://www.cycu.edu.tw,http://www.cycu.edu.tw/eng/,○,○,https://itouch.cycu.edu.tw/active_system/query_data/student/ssgogo.jsp,"USD 4,000",約62万円,最低TOCFL A2,TOEIC 550 / CEFR B1,,43,,,,enriched,hailian+spreadsheet
45,天主教輔仁大學,天主教輔仁大学,Fu Jen Catholic University,私立大學,新北,242062新北市新莊區中正路510號,886-2-29052224,https://www.fju.edu.tw/,https://www.fju.edu.tw/indexEN.jsp,○,○,http://overseas.fju.edu.tw/administration.jsp?labelID=1,20万元,約100万円,A2以上,CEFR B1以上,,58,,,,enriched,hailian+spreadsheet
39,東海大學,東海大学,Tunghai University,私立大學,台中,407224台中市西屯區臺灣大道四段1727號,886-4-23598900,https://www.thu.edu.tw,https://eng.thu.edu.tw/,○,○,http://oiep.thu.edu.tw/page6/super_pages.php?ID=page602,,,,,,45,,,,basic,hailian
36,中國文化大學,中国文化大学,Chinese Culture University,私立大學,台北,111396台北市士林區華岡路55號,886-2-28610511 #11312,http://www.pccu.edu.tw,https://en.pccu.edu.tw/,○,○,https://oima.pccu.edu.tw/,"TWD 100,000",約50万円,A2以上,CEFR B1,,50,,,,enriched,hailian+spreadsheet
44,逢甲大學,逢甲大学,Feng Chia University,私立大學,台中,407102台中市西屯區文華路100號,886-4-24517250#2184,https://www.fcu.edu.tw/,https://www.fcu.edu.tw,○,○,https://osra.fcu.edu.tw/newstudent_scholarship/,,,,,,49,,,,basic,hailian
55,東吳大學,東吳大学,Soochow University,私立大學,台北,111002台北市士林區臨溪路70號,886-2-28819471,http://www.scu.edu.tw,https://www-en.scu.edu.tw,○,○,http://icae.scu.edu.tw/index.php/zh-hant/ocs-app/scholarship,"NTD 120,000",約60万円,最低TOCFL A2,最低CEFR A2,"台北中正と士林にキャンパスがある
士林キャンパスは緑が豊かで故宮博物院の近く
2022年企業が求める大学生ランキング法政部門で私立大学1位",24,15287,521,78,full,hailian+spreadsheet+guide
57,元智大學,元智大学,Yuan Ze University,私立大學,桃園,320315桃園市中壢區遠東路135號,886-3-4638800-3287,https://www.yzu.edu.tw/,https://www.yzu.edu.tw/index.php/en-us/,○,○,https://gao.yzu.edu.tw/index.php/tw/scholarships/int-scholarships,,,,,,24,,,,basic,hailian
65,長庚大學,長庚大学,Chang Gung University,私立大學,桃園,333323桃園市龜山區文化一路259號,886-3-2118800,http://www.cgu.edu.tw,https://www.cgu.edu.tw/en,○,×,https://studentaffairs.cgu.edu.tw/p/403-1012-210-1.php?Lang=zh-tw,,,,,,21,,,,basic,hailian
48,世新大學,世新大学,Shih Hsin University,私立大學,台北,116002臺北市文山區木柵路一段17巷1號,886-2-22368225,https://www.shu.edu.tw/,https://eng.web.shu.edu.tw/,○,×,,,,,,,23,,,,basic,hailian
66,中山醫學大學,中山医学大学,Chung Shan Medical University,私立大學,台中,402367臺中市南區建國北路1段110號,886-4-36098795,http://www.csmu.edu.tw,https://english.csmu.edu.tw/,○,○,"https://osa.csmu.edu.tw/p/405-1011-33604,c1880.php?Lang=zh-tw",,,,,,21,,,,basic,hailian
40,實踐大學,実践大学,Shih Chien University,私立大學,台北,104336台北市中山區大直街70號,886-2-25381111,https://www.usc.edu.tw,https://www.usc.edu.tw/?locale=en,○,○,https://activity.usc.edu.tw/p/412-1062-608.php?Lang=zh-tw,"120,000元",約60万円,TOCFL A2,CEFR B1,,20,,,,enriched,hailian+spreadsheet
40A,實踐大學(高雄),実践大学(高雄),Shih Chien University,私立大學,高雄,845050高雄市內門區內南里大學路200號,+886-7-667-8888,https://www.kh.usc.edu.tw/,https://www.usc.edu.tw/?Lang=en,○,○,https://activity.kh.usc.edu.tw/p/412-1014-662.php?Lang=zh-tw,,,,,,11,,,,basic,hailian
41,義守大學,義守大学,I-Shou University,私立大學,高雄,840301高雄市大樹區學城路1段1號,886-7-6577711,https://www.isu.edu.tw,https://www.isu.edu.tw,○,○,https://sites.google.com/go.isu.edu.tw/ocsa/qna/%E7%8D%8E%E5%8A%A9%E5%AD%B8%E9%87%91?authuser=0,,,,,,27,,,,basic,hailian
69,臺北醫學大學,台北医学大学,Taipei Medical University,私立大學,台北,110301臺北市信義區吳興街250號,886-2-27361661,https://www.tmu.edu.tw,https://eng.tmu.edu.tw/,○,○,https://newacademic.tmu.edu.tw/outside.aspx?mainPage=QQBw%20AHAAbABpAGMAYQB0AGkAbwBuAC8AUwBHAE0ALwBTAEcATQA%20yADAALwBTAEcATQAyADAAMQA2AF8AMAAxAC4AYQBzAHAAeA%20A=,,,,,,14,,,,basic,hailian
42,靜宜大學,靜宜大学,Providence University,私立大學,台中,433303台中市沙鹿區台灣大道七段200號,886-4-26328001#11571,https://oia.pu.edu.tw/app/home.php,https://oia.pu.edu.tw/app/home.php,○,○,https://oia.pu.edu.tw/p/426-1048-11.php,,,,,,27,,,,basic,hailian
46,長榮大學,長榮大学,Chang Jung Christian University,私立大學,台南,711301臺南市歸仁區長大路1號,886-6-2785123,http://www.cjcu.edu.tw,http://www.cjcu.edu.tw/en/,○,○,https://dweb.cjcu.edu.tw/overseas_student/article/2855?lang=zh-TW,,,,,,26,,,,basic,hailian
43,真理大學,真理大学,Aletheia University,私立大學,新北,251306新北市淡水區真理街32號,886-2-26290228,http://www.au.edu.tw,https://www.au.edu.tw/index.php?Lang=en,○,○,"https://cia.au.edu.tw/p/406-1022-49875,r110566.php?Lang=zh-tw",,,,,,10,,,,basic,hailian
56,開南大學,開南大学,Kainan University,私立大學,桃園,338103桃園市蘆竹區開南路1號,886-3-3412500分機6028,http://www.knu.edu.tw,https://www.knu.edu.tw/app/home.php,○,○,http://knuoica.knu.edu.tw/p/404-1004-780.php?Lang=zh-tw,,,,,,17,,,,basic,hailian
49,大葉大學,大葉大学,Dayeh University,私立大學,彰化,515006彰化縣大村鄉學府路168號,886-4-8511888,http://www.dyu.edu.tw,http://www.dyu.edu.tw,○,○,http://reg.dyu.edu.tw/unit_index.php?page=2&unit=2950,,,,,,23,,,,basic,hailian
63,大同大學,大同大学,Tatung University,私立大學,台北,104327台北市中山北路三段40號,886-2-21822928 ext.7521,https://www.ttu.edu.tw/,https://ao.ttu.edu.tw/,○,○,https://tturule.ttu.edu.tw/rulelist/showcontent.php?rid=908,,,,,,11,,,,basic,hailian
62,華梵大學,華梵大学,Huafan University,私立大學,新北,223011新北市石碇區華梵路1號,886-2-26632102#2233,http://www.hfu.edu.tw,http://www.hfu.edu.tw,○,○,https://sa.hfu.edu.tw/p/403-1008-148-1.php,,,,,,10,,,,basic,hailian
60,南華大學,南華大学,Nanhua University,私立大學,嘉義,622301嘉義縣大林鎮南華路一段55號,886-5-2721001分機1711,https://www3.nhu.edu.tw/,https://en3.nhu.edu.tw/,○,○,https://reurl.cc/3YKXW0,,,,,,19,,,,basic,hailian
59,玄奘大學,玄奘大学,Hsuan Chuang University,私立大學,新竹,300102新竹市香山區玄奘路48號,886-3-5391216,http://www.hcu.edu.tw,http://www.hcu.edu.tw,○,○,http://www.hcu.edu.tw/newstu/newstu/zh-tw/BC215007EF684DBA9C6D403D41F64B7F/E8C4D41BABDC4A9DA1B50F5247D17886,,,,,,9,,,,basic,hailian
64,佛光大學,仏光大学,Fo Guang University,私立大學,宜蘭,262307宜蘭縣礁溪鄉林美村林尾路160號,886-3-9871000,http://www.fgu.edu.tw/,https://website.fgu.edu.tw/?locale=en,○,○,https://oica.fgu.edu.tw/zh_tw/21,,,,,,13,,,,basic,hailian
F1,馬偕學校財團法人馬偕醫學大學,馬偕学校財團法人馬偕医学大学,MacKay Medical University,私立大學,新北,252005新北市三芝區中正路三段46號,886-2-26360303,https://www.mmu.edu.tw/,https://en.mmu.edu.tw/index.html,○,×,,,,,,,6,,,,basic,hailian
53,中信金融管理學院,中信金融管理学院,CTBC Business School,私立大學,台南,709301台南市安南區台江大道3段600號,886-6-2873335,http://www.ctbc.edu.tw,https://www.ctbc.edu.tw/?Lang=en,○,○,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://io.ctbc.edu.tw/var/file/7/1007/img/242413801.pdf,,,,,,3,,,,basic,hailian
38,銘傳大學(臺北),銘伝大学(台北),Ming Chuan University,私立大學,台北,111005台北市士林區中山北路五段250號,886-2-28824564#2247,https://web2.mcu.edu.tw/,https://web2.mcu.edu.tw/en,○,○,https://student.mcu.edu.tw/home/就學補助措施/#33,"195,000元",約97万円,B1以上,TOEIC 550,,12,,,,enriched,hailian+spreadsheet
38A,銘傳大學(桃園),銘伝大学(桃園),Ming Chuan University,私立大學,台北,111005台北市士林區中山北路五段250號,886-2-28824564#2247,https://web2.mcu.edu.tw/,https://web2.mcu.edu.tw/en,○,○,https://student.mcu.edu.tw/home/就學補助措施/#33,,,,,,23,,,,basic,hailian
67,高雄醫學大學,高雄医学大学,Kaohsiung Medical University,私立大學,高雄,807378高雄市三民區十全一路100號,886-7-3121101,https://www.kmu.edu.tw,https://www.kmu.edu.tw/index.php/en-gb,○,×,,,,,,,21,,,,basic,hailian
47,亞洲大學,亜洲大学,Asia University,私立大學,台中,413305台中市霧峰區柳豐路500號,886-4-23323456 轉 6275,http://www.asia.edu.tw,http://www.asia.edu.tw/EN/,○,×,,,,,,,22,,,,basic,hailian
70,慈濟大學,慈済大学,Tzu Chi University,私立大學,花蓮,970374花蓮縣花蓮市中央路3段701號,886-3-8565301,https://www.tcu.edu.tw/,https://tcueng.tcu.edu.tw/,○,○,https://oga.tcu.edu.tw/how-to-apply-for-scholarship/,,,,,,19,,,,basic,hailian
52,康寧大學,康寧大学,University of Kang Ning,私立大學,台北,114055臺北市內湖區康寧路三段75巷137號(臺北校區),886-2-26321181,https://www.ukn.edu.tw/,https://www.ukn.edu.tw/,○,×,http://recruit.ukn.edu.tw/ezfiles/21/1021/img/457/550623017.pdf,,,,,,2,,,,basic,hailian
D6,法鼓學校財團法人法鼓文理學院,法鼓学校財團法人法鼓文理学院,Dharma Drum Institute of Liberal Arts,私立大學,新北,208303新北市金山區西湖里法鼓路700號,886-24980707#5316,https://www.dila.edu.tw/,https://www.dila.edu.tw/,○,○,https://sa.dila.edu.tw/?page_id=126,,,,,,1,,,,basic,hailian
F4,臺北基督學院,台北基督学院,Christ's College Taipei,私立大學,新北,251022新北市淡水區自強路51號,02-2809-7661 ext. 2220,http://www.cct.edu.tw,http://www.cct.edu.tw,○,×,,,,,,,1,,,,basic,hailian
75,國立高雄科技大學,国立高雄科技大学,National Kaohsiung University of Science and Technology,國立科技大學,高雄,807618高雄市三民區建工路415號,886-7-3814526#19022,http://www.nkust.edu.tw,https://eng.nkust.edu.tw/,○,○,https://oia.nkust.edu.tw/unit-8-3.html,,,,,,50,,,,basic,hailian
78,國立虎尾科技大學,国立虎尾科技大学,National Formosa University,國立科技大學,雲林,632301雲林縣虎尾鎮文化路64號,886-5-6315107,https://www.nfu.edu.tw/zh/,https://www.nfu.edu.tw/zh/,○,○,https://nfuosa.nfu.edu.tw/scholarship-news.html,,,,,,20,,,,basic,hailian
74,國立屏東科技大學,国立屏東科技大学,National Pingtung University of Science and Technology,國立科技大學,屏東,912301屏東縣內埔鄉老埤村學府路1號,886-8-7703202,https://wp.npust.edu.tw/,https://wp.npust.edu.tw/,○,○,http://oia.npust.edu.tw/bin/home.php?Lang=zh-tw,,,,,,28,,,,basic,hailian
82,國立臺中科技大學,国立台中科技大学,National Taichung University of Science and Technology,國立科技大學,台中,404336臺中市北區三民路三段129號,886-4-22195755,https://www.nutc.edu.tw/,https://eng.nutc.edu.tw/,○,○,https://oia.nutc.edu.tw/p/412-1042-10041.php,,,,,,21,,,,basic,hailian
73,國立臺北科技大學,国立台北科技大学,National Taipei University of Technology,國立科技大學,台北,106344台北市忠孝東路三段一號,886-2-27712171,https://www.ntut.edu.tw/,https://www-en.ntut.edu.tw/,○,○,https://oia.ntut.edu.tw/p/412-1032-9284.php?Lang=zh-tw,,,,,"台北中心部に位置する
MRT忠孝新生駅から徒歩約15分
キャンパス外には飲食店やビルが多くある
現在、台湾に上場している企業の責任者は10％以上がこの学校の卒業生であり、多くの起業家を生んでいる",25,13633,1025,10,enriched,hailian+guide
72,國立雲林科技大學,国立雲林科技大学,National Yunlin University of Science and Technology,國立科技大學,雲林,640301雲林縣斗六市大學路3段123號,886-5-5372637,https://www.yuntech.edu.tw/,https://www.yuntech.edu.tw/,○,○,https://tdx.yuntech.edu.tw/index.php/arc-ocs/item/330-scholarship,,,A2以上（HSKもOK）,CEFR B1以上,,14,,,,enriched,hailian+spreadsheet
D7,國立澎湖科技大學,国立澎湖科技大学,National Penghu University of Science and Technology,國立科技大學,澎湖,880011澎湖縣馬公市六合路300號,886-6-9264115,https://www.npu.edu.tw,https://www.npu.edu.tw/eng,○,×,,,,,,,10,,,,basic,hailian
85,國立臺北護理健康大學,国立台北護理健康大学,National Taipei University of Nursing and Health Sciences,國立科技大學,台北,112303台北市北投區明德路365號,886-2-28227101 ext.2733,https://www.ntunhs.edu.tw,https://www.ntunhs.edu.tw/?Lang=en,○,○,https://activity-osa.ntunhs.edu.tw/p/412-1043-3282.php?Lang=zh-tw,,,,,,9,,,,basic,hailian
84,國立臺北商業大學,国立台北商業大学,National Taipei University of Business,國立科技大學,台北,100025臺北市中正區濟南路一段321號,886-2-23226050,https://www.ntub.edu.tw,https://www.ntub.edu.tw,○,○,https://stud.ntub.edu.tw/p/403-1007-966-1.php?Lang=zh-tw,,,,,,10,,,,basic,hailian
81,國立勤益科技大學,国立勤益科技大学,National Chin-Yi University of Technology,國立科技大學,台中,411030臺中市太平區坪林里中山路二段57號,886-4-23924505,http://www.ncut.edu.tw,https://en.ncut.edu.tw/,○,○,https://shorturl.at/Yywcs,,,,,,16,,,,basic,hailian
83,國立高雄餐旅大學,国立高雄餐旅大学,National Kaohsiung University of Hospitality and Tourism,國立科技大學,高雄,812301高雄市小港區松和路1號,886-7-8060505,https://www.nkuht.edu.tw,https://international.nkuht.edu.tw/?Lang=en,○,×,,,,,,,12,,,,basic,hailian
F2,國立臺灣戲曲學院,国立台湾戯曲学院,National Taiwan College of Performing Arts,國立科技大學,台北,114023臺北市內湖區內湖路二段177號,886-2-27962666#1220,http://www.tcpa.edu.tw,http://www.tcpa.edu.tw,○,×,,,,,,,6,,,,basic,hailian
71,國立臺灣科技大學,国立台湾科技大学,National Taiwan University of Science and Technology,國立科技大學,台北,106335台北市大安區基隆路四段43號,886-2-27301190,http://www.ntust.edu.tw,https://www.ntust.edu.tw/home.php?Lang=En,○,×,,,,TOCFL level3以上,CEFR B1,"台北中心部に位置する
MRT公館駅から徒歩約15分
1912年に創立されている歴史のある大学
台湾の中でもトップの科技大学",12,11648,1475,13,full,hailian+spreadsheet+guide
87,南臺科技大學,南台科技大学,Southern Taiwan University of Science and Technology,私立科技大學,台南,710301台南市永康區尚頂里南台街1號,886-6-2533131,https://www.stust.edu.tw,https://www.stust.edu.tw/en,○,○,https://osa.stust.edu.tw/tc/node/oversea_chinese,,,,,,28,,,,basic,hailian
94,正修科技大學,正修科技大学,Cheng Shiu University,私立科技大學,高雄,833301高雄市鳥松區澄清路840號,886-7-7358800,https://www.csu.edu.tw/,https://www.csu.edu.tw/csueng/,○,×,,,,,,,18,,,,basic,hailian
86,朝陽科技大學,朝陽科技大学,Chaoyang University of Technology,私立科技大學,台中,413310臺中市霧峰區吉峰東路168號,886-4-23323000,http://www.cyut.edu.tw,https://web.cyut.edu.tw/index.php?Lang=en,○,○,"https://icsc.cyut.edu.tw/p/406-1008-39835,r1426.php?Lang=zh-tw",,,,,,33,,,,basic,hailian
90,嘉藥學校財團法人嘉南藥理大學,嘉薬学校財團法人嘉南薬理大学,Chia Nan University of Pharmacy and Science,私立科技大學,台南,717301台南市仁德區二仁路一段60號,886-6-2664911,https://www.cnu.edu.tw,https://www.cnu.edu.tw/en/index.asp,○,○,https://oica.cnu.edu.tw/USER/Userfile/file/ff170624165213687887.pdf,,,,,,20,,,,basic,hailian
